item	total	count part-1	specif part-1	count part-2	specif part-2
코드	31	8	-0.98	23	0.98
표현이	31	11	0.84	20	-0.84
07	31	7	-1.16	24	1.16
지방	31	11	0.84	20	-0.84
64	31	2	-3.44	29	3.44
조회	31	1	-4.32	30	4.32
Page	31	1	-4.32	30	4.32
jaenungnet	31	1	-4.32	30	4.32
으	31	0	-5.51	31	5.51
마케팅	31	0	-5.51	31	5.51
알려져	30	14	1.31	16	-1.31
도움이	30	13	1.10	17	-1.10
분석	30	9	-0.84	21	0.84
원주민	30	10	0.82	20	0.82
w	30	3	-2.61	27	2.61
단위로	30	14	1.31	16	-1.31
기준으로	30	12	0.95	18	-0.95
한다는	30	14	1.31	16	-1.31
뿐	30	14	1.31	16	-1.31
의미	30	6	-1.34	24	1.34
것과	30	13	1.10	17	-1.10
개념을	30	12	0.95	18	-0.95
P	30	2	-3.29	28	3.29
그냥	30	10	0.82	20	0.82
분	30	6	-1.34	24	1.34
한국어에서	30	15	1.58	15	-1.58
Ruby	30	12	0.95	18	-0.95
선언형	30	15	1.58	15	-1.58
나는	30	8	-0.93	22	0.93
35	30	8	-0.93	22	0.93
36	30	7	-1.10	23	1.10
t	30	5	-1.66	25	1.66
활용	30	9	-0.84	21	0.84
표준어로	30	15	1.58	15	-1.58
안내	30	4	-2.08	26	2.08
Privacy	30	0	-5.33	30	5.33
Policy	30	0	-5.33	30	5.33
네	29	13	1.17	16	-1.17
등에서	29	13	1.17	16	-1.17
원어민	29	13	1.17	16	-1.17
필요한	29	12	0.99	17	-0.99
에서는	29	13	1.17	16	-1.17
중심으로	29	13	1.17	16	-1.17
타	29	19	3.48	10	-3.48
여	29	13	1.17	16	-1.17
인간	29	13	1.17	16	-1.17
개의	29	13	1.17	16	-1.17
쓰지	29	13	1.17	16	-1.17
받은	29	12	0.99	17	-0.99
참조	29	11	0.87	18	-0.87
연구하는	29	14	1.41	15	-1.41
출신	29	11	0.87	18	-0.87
이것이	29	14	1.41	15	-1.41
의사소통	29	14	1.41	15	-1.41
같다	29	14	1.41	15	-1.41
동적	29	13	1.17	16	-1.17
링크	29	9	-0.82	20	0.82
없다는	29	11	0.87	18	-0.87
상황에	29	12	0.99	17	-0.99
우리는	29	14	1.41	15	-1.41
논란	29	4	-1.96	25	1.96
IE	29	1	-3.99	28	3.99
Service	29	0	-5.16	29	5.16
val	29	0	-5.16	29	5.16
English	28	6	-1.18	22	1.18
보이는	28	13	1.25	15	-1.25
언어이다	28	14	1.52	14	-1.52
이것은	28	12	1.05	16	-1.05
비롯한	28	12	1.05	16	-1.05
디자인	28	3	-2.35	25	2.35
페이스북	28	3	-2.35	25	2.35
하는데	28	12	1.05	16	-1.05
참고로	28	13	1.25	15	-1.25
언어들	28	14	1.52	14	-1.52
상대적으로	28	13	1.25	15	-1.25
단어	28	11	0.90	17	-0.90
때에는	28	13	1.25	15	-1.25
알고리즘	28	3	-2.35	25	2.35
종종	28	13	1.25	15	-1.25
객체	28	6	-1.18	22	1.18
언어들은	28	14	1.52	14	-1.52
당시	28	12	1.05	16	-1.05
역할을	28	13	1.25	15	-1.25
일본어의	28	14	1.52	14	-1.52
문화어를	28	12	1.05	16	-1.05
북한에서	28	12	1.05	16	-1.05
전국	28	9	0.80	19	0.80
사용할	27	7	-0.92	20	0.92
52	27	5	-1.37	22	1.37
국가의	27	13	1.35	14	-1.35
있지	27	13	1.35	14	-1.35
쉽지	27	12	1.11	15	-1.11
요	27	3	-2.22	24	2.22
트위터	27	1	-3.67	26	3.67
사용하여	27	7	-0.92	20	0.92
있어서	27	12	1.11	15	-1.11
능력을	27	13	1.35	14	-1.35
문장을	27	9	0.79	18	0.79
문학	27	8	-0.82	19	0.82
다음과	27	11	0.94	16	-0.94
경향이	27	13	1.35	14	-1.35
두고	27	11	0.94	16	-0.94
사람의	27	6	-1.10	21	1.10
꽤	27	12	1.11	15	-1.11
결국	27	12	1.11	15	-1.11
미국식	27	10	0.83	17	-0.83
없기	27	12	1.11	15	-1.11
white	27	4	-1.74	23	1.74
일이	27	11	0.94	16	-0.94
